Method,Initialization,Target_Month,Lead_Month,NINO3.4,AUC,SEDI,BSS,Accuracy,CSI,BrS,RMSE,MHW_Intensity_Error_C,Observed_MHW_Intensity_RMSE_C,BrS_Reference,hits,misses,false_alarms,correct_negatives
NMME ensemble mean,1994-03,1994-11,8,1.0316734313964844,0.4904894914248345,-0.0296236500144004,-1.1907608176969329,0.895292084537138,0.0235879209420453,0.1047079154628619,0.2410544909137946,0.2411901649163556,0.2410544909137946,0.0477952292267749,60.37101757526398,1067.1884579658508,1431.8444551229477,21307.300912439823
NMME ensemble mean,1994-03,1994-12,9,1.167438507080078,0.7119599576529814,0.2184885144233703,-0.157462947612786,0.9288306096027796,0.0466294272498225,0.0711693903972202,0.2690220241281651,0.0988751692340223,0.2690220241281651,0.0614874027233474,83.07762002944946,1452.965684890747,245.6131495833397,22085.04838860035
NMME ensemble mean,1994-04,1994-05,1,0.2557277679443359,0.5470889037601431,0.1620200127363205,-0.3355372113324282,0.9031483034896852,0.0539066556469638,0.0968516965103146,0.2995453644294482,0.0370784266856815,0.2995453644294482,0.0725189052678572,131.70676922798157,1733.443554699421,578.0872994661331,21423.46721971035
NMME ensemble mean,1994-04,1994-06,2,0.2959613800048828,0.6895373750401922,0.4591376483440399,-0.9879789594068134,0.9381135521968628,0.1102267663741431,0.0618864478031372,0.172837344697664,0.1545668715121281,0.172837344697664,0.0311303334023229,182.97668188810349,447.4126062989235,1029.612977206707,22206.70257771015
NMME ensemble mean,1994-04,1994-07,3,0.1916446685791015,0.6324830278635157,0.1999530792236328,-0.7545035851058053,0.8867175163464893,0.0803135725116311,0.1132824836535106,0.2348697156505128,0.1499367469299579,0.2348697156505128,0.0645666869051619,236.1045691370964,1391.8041941523552,1311.8754070997238,20926.92067271471
NMME ensemble mean,1994-04,1994-08,4,0.4293575286865234,0.6249195150810878,0.1225605010986328,-0.7386849262983355,0.8755724573430136,0.0629280113107367,0.1244275426569864,0.2382539616297018,0.2296115438645124,0.2382539616297018,0.0715641694334424,199.42520064115524,1637.2421253323555,1332.4333096146584,20697.60420751572
NMME ensemble mean,1994-04,1994-09,5,0.3319873809814453,0.5747284888830864,0.1012900471687316,-1.221222922101406,0.8957549418901156,0.0449761396995114,0.1042450581098843,0.2216612805802923,0.2057505362291432,0.2216612805802923,0.046931380489835,117.1698551774025,984.6180918216704,1503.3679414391518,21261.54895466566
NMME ensemble mean,1994-04,1994-10,6,0.7780609130859375,0.5505321676489325,-0.0806660428643226,-0.8849910153389673,0.8475945183697543,0.0273246728639055,0.1524054816302456,0.2725529433458056,0.1482309936762851,0.2725529433458056,0.0808520997660243,102.18334645032884,2011.5743443369863,1625.8423022031784,20127.104850113392
NMME ensemble mean,1994-04,1994-11,7,1.0316734313964844,0.4950816879929111,-0.0388493202626705,-1.6063447357580167,0.8754291559104473,0.0258657608045849,0.1245708440895526,0.2535712601427114,0.1957841136295323,0.2535712601427114,0.0477952292267749,78.94330751895905,1048.6161680221558,1924.47939991951,20814.66596764326
NMME ensemble mean,1994-04,1994-12,8,1.167438507080078,0.6600405391447306,0.1963568776845932,-0.8895067208807907,0.8838191393047311,0.0786505640168157,0.1161808606952689,0.385986621462193,0.2412689391630459,0.385986621462193,0.0614874027233474,236.7034123539925,1299.339892566204,1473.514418065548,20857.14712011814
NMME ensemble mean,1994-04,1995-01,9,1.0119304656982422,0.5551253287122383,-0.0283928979188203,-3.1910975336722505,0.8323476584273379,0.0274093250084187,0.1676523415726621,0.5638517849991297,1.7379305493780632,0.5638517849991297,0.0400020138461833,112.76396161317824,782.2975498437881,3219.0114027261734,19752.631928920742
NMME ensemble mean,1994-05,1994-06,1,0.2959613800048828,0.6922261436211968,0.500116229057312,-0.8686218336976814,0.941829179314131,0.1259564567100079,0.0581708206858689,0.1692937017908662,0.1678690699196862,0.1692937017908662,0.0311303334023229,200.07140374183652,430.3178844451904,958.0279233455658,22278.287631571293
NMME ensemble mean,1994-05,1994-07,2,0.1916446685791015,0.6359088443275926,0.2479256242513656,-0.5741465251429669,0.8983625741682455,0.0916866284686339,0.1016374258317545,0.2332665789380656,0.1262868642637838,0.2332665789380656,0.0645666869051619,244.8591935634613,1383.0495697259903,1042.7008736133575,21196.09520620108
NMME ensemble mean,1994-05,1994-08,3,0.4293575286865234,0.6065080065595526,0.1399130076169967,-0.6415767638748795,0.882521922332056,0.0645375068020492,0.1174780776679439,0.2380800161152033,0.2155945869625224,0.2380800161152033,0.0715641694334424,193.43501794338223,1643.2323080301285,1160.582297205925,20869.45521992445
NMME ensemble mean,1994-05,1994-09,4,0.3319873809814453,0.5954068153277857,0.1016245484352111,-1.1071720946115875,0.9011075046702208,0.0440161474064191,0.0988924953297791,0.2199681413988238,0.1830024662531644,0.2199681413988238,0.046931380489835,108.67190206050871,993.1160449385644,1367.1219522953031,21397.79494380951
NMME ensemble mean,1994-05,1994-10,5,0.7780609130859375,0.5730942025170213,-0.0333809368312358,-0.7777406011898824,0.8562659395544836,0.0327857536193545,0.1437340604455164,0.2719331213511315,0.1524086707068389,0.2719331213511315,0.0808520997660243,116.28257566690444,1997.475115120411,1432.9832814335823,20319.963870882988
NMME ensemble mean,1994-05,1994-11,6,1.0316734313964844,0.4988965912022844,-0.0372318103909492,-1.4150470695827035,0.8845722717158435,0.0245938822058798,0.1154277282841565,0.2565799852419568,0.2263428234030547,0.2565799852419568,0.0477952292267749,69.46151065826416,1058.0979648828506,1696.7815567851069,21042.363810777664
NMME ensemble mean,1994-05,1994-12,7,1.167438507080078,0.575677147608655,0.1029626056551933,-1.3064582098991615,0.8581818751833591,0.0599337353239718,0.1418181248166408,0.3524520828796669,0.1568959192827822,0.3524520828796669,0.0614874027233474,215.7928638458252,1320.250441074371,2064.4808853268623,20266.180652856827
NMME ensemble mean,1994-05,1995-01,8,1.0119304656982422,0.594239824015835,-0.0600930601358413,-1.719419142808453,0.8912177577958003,0.0188272206321197,0.1087822422041997,0.3129049902550363,0.3839546596581504,0.3129049902550363,0.0400020138461833,49.81856220960617,845.2429492473602,1751.0307176113129,21220.612614035606
NMME ensemble mean,1994-05,1995-02,9,0.9151287078857422,0.4599409093276237,0.0004765759513247,-0.4598348600963402,0.9216168907949144,0.0183162813716822,0.0783831092050856,0.2450075080936173,0.710918110698416,0.2450075080936173,0.0536931343041861,34.90443938970566,1268.60948574543,602.1370463371277,21961.053871631622
NMME ensemble mean,1994-06,1994-07,1,0.1916446685791015,0.646783018042373,0.1031251177191734,-0.4973308790026869,0.9033223059420026,0.043682307161896,0.0966776940579973,0.233042512726089,0.1189667441057928,0.233042512726089,0.0645666869051619,105.39551323652267,1522.513250052929,784.8647389411926,21453.93134087324
