time,SEDI,leads,Nino34
2015-12-01,0.5357133679919772,9,2.66
2016-01-01,0.5686825149589114,9,2.57
2016-02-01,0.5333129101329379,9,2.26
2016-03-01,0.4767666889561547,9,1.62
2016-04-01,0.4748102244403627,9,0.91
2016-05-01,0.4102593759695689,9,0.3
2016-06-01,0.3877773309747378,9,-0.03
2016-07-01,0.3236861576636632,9,-0.48
2016-08-01,0.3510295003652572,9,-0.58
2016-09-01,0.28521395060751176,9,-0.58
2016-10-01,0.20546656433078975,9,-0.74
2016-11-01,0.26697952631447047,9,-0.76
2016-12-01,0.21707037215431527,9,-0.5
2017-01-01,0.1649770005088713,9,-0.43
2017-02-01,0.25876312868462664,9,-0.08
2017-03-01,0.24460211230648887,9,0.03
2017-04-01,0.25796860125329757,9,0.22
2017-05-01,0.2075412049889564,9,0.37
2017-06-01,0.1730293391479386,9,0.34
2017-07-01,0.09343030903902316,9,0.25
2017-08-01,0.2034595645964145,9,-0.16
2017-09-01,0.11245459250898825,9,-0.43
2017-10-01,0.10773991979658604,9,-0.56
2017-11-01,0.16185118216607305,9,-0.97
2017-12-01,0.09341580358644325,9,-0.98
2018-01-01,0.1820326062540213,9,-0.98
2018-02-01,0.25563502808411914,9,-0.78
2018-03-01,0.29992447627915275,9,-0.8
2018-04-01,0.4213636997673247,9,-0.51
2018-05-01,0.3453411203291681,9,-0.2
2018-06-01,0.2685860217445426,9,0.04
2018-07-01,0.35306909845934975,9,0.12
2018-08-01,0.2835760919584168,9,0.09
2018-09-01,0.2605753629985783,9,0.47
2018-10-01,0.28540754359629417,9,0.9
2018-11-01,0.1534822413490878,9,0.9
2018-12-01,0.07661802404456666,9,0.89
2019-01-01,-0.004672266025510087,9,0.65
2019-02-01,0.10739950256215197,9,0.71
2019-03-01,0.16680268322428066,9,0.81
2019-04-01,0.2752218704360227,9,0.62
2019-05-01,0.32590539091163206,9,0.55
2019-06-01,0.2752678996572892,9,0.45
2019-07-01,0.2494655731651518,9,0.35
2019-08-01,0.2725067308379544,9,0.04
2019-09-01,0.26650615802241695,9,0.03
2019-10-01,0.2561253209908803,9,0.48
2019-11-01,0.26624828577041626,9,0.52
2019-12-01,0.3266902075976961,9,0.52
2020-01-01,0.31928329376710785,9,0.6
2020-02-01,0.2640446585913499,9,0.37
2020-03-01,0.244689582950539,9,0.48
2020-04-01,0.2410949534840054,9,0.36
2020-05-01,0.2677003354248073,9,-0.27
